ابتلاع التهام
سباق منافسة
سبب مبرر
سار مشى
ساطع مشرق
سرد حكى
سريع عاجل
سلم درج
سور حائط
سياج جدار
سياحة سفر
شاء رغب
شائعة خبر
شاجر نازع
شارع طريق
شارك ساهم
شامخ مرتفع
شاهد دليل
شتم سب
شجاعة جراة
شرح فسر
شعار علامة
شعاع نور
شعور حس
شفيع وسيط
شغل عمل
شك ريبة
شكر حمد
شكوى اعتراض
شهيد قتيل
شيخ عجوز
صائب سديد
صاحب صديق
صارم قوي
صامت ساكت
صبر جلد
صحة عافية
صحراء بادية
صد ردع
صراحة وضوح
صعب عسير
صفح غفر
صلة علاقة
صلح سلام
صلب قوي
صقيع برد
صمت سكوت
صفع ضرب
صغير ضئيل
صراخ صياح
صخب صراخ
ضاحية ناحية
ضاعف اكثر
ضال تائه
ضحك ابتسم
ضجة صياح
ضد مقابل
ضرب صفع
ضرر اذى
ضعف نحافة
ضرورة حاجة
ضلال ضياع
ضم جمع
ضمان عهد
ضيف زائر
ضجر ملل
ضبط احسن
ضر اذى
ضيق ازمة
ضليع خبير
ضوء نور
طائر عصفور
طائفة فرقة
طار ارتفع
طراز نمط
طرد ابعاد
طرف حافة
طرق دق
طفولة صغر
طقس مناخ
طلب سأل
طهو طبخ
طوفان سيل
طوق رباط
طمع جشع
طعم مذاق
طعام غذاء
طغى ظلم
طعن سب
طبق صحن
طبع خصلة
ظاهر واضح
ظاهرة حدث
ظرف حال
ظفر فاز
ظلم قهر
ظن تقدير
ظمأ عطش
ظهور وضوح
ظلام عتمة
ظهر بان
ظريف لبق
ظهيرة قيلولة
ظافر فائز
ظرافة بشاشة
ظفر مخلب
ظل بقي
ظلم طغيان
ظهر قفا
ظلماء دجى
ظل فيء
عائلة اهل
عاجل سريع
عالم كون
عافية صحة
عاقبة نتيجة
عجوز مسن
عدل حق
عدو خصم
عذر حجة
عزف لحن
عزم نية
عسير صعب
عشاء طعام
عزيمة قوة
عسل شهد
عزيز حبيب
عشق حب
عصير شراب
عشيرة عائلة
عصفور طائر
غادر رحل
غاضب ساخط
غبار تراب
غبي احمق
غامض مبهم
غامق داكن
غدير نهر
غدر خيانة
غداء طعام
غريب دخيل
غرس زرع
غرض قصد
غرفة حجرة
غرور كبرياء
غش خديعة
غضب سخط
غطاء ستر
غل عداوة
غيث مطر
غناء انشاد
فؤاد قلب
فائدة منفعة
فئة فرقة
فاجعة مصيبة
فائض زيادة
فتى شاب
فجأة بغتة
فراش سرير
فريسة صيد
فريق جماعة
فرح سرور
فرد واحد
فرض واجب
فصيح بليغ
فطور طعام
فقد ضياع
فقه علم
فكرة رأي
فناء موت
فهم ادراك
قائد زعيم
قائمة لائحة
قاتل حارب
قارب مركب
قاض حاكم
قاعة غرفة
قاعدة مبدأ
قال تكلم
قتال صراع
قدم رجل
قرض دين
قساوة صلابة
قصيدة شعر
قوة طاقة
قهر غلب
قلعة حصن
قلع انتزع
قليل ضئيل
قلق اضطراب
قصور عجز
كآبة حزن
كاتب مؤلف
كارثة مصيبة
كافح حارب
كئيب حزين
كبير ضخم
كتاب مؤلف
كثير وافر
كذبة باطل
كراهية بغض
كرب شدة
كرم سخاء
كسب ربح
كلم خاطب
كفاح جهاد
كفيف اعمى
كلام قول
كهل مسن
كشف خلع
كره مقت
لافت جذاب
لئيم نذل
لحظة برهة
لحن نغم
لص سارق
لغز سر
لقاء مواجهة
لقب اسم
لمحة إشارة
لوحة لافتة
لين حنان
لهيب حر
لهجة لسان
لمس احس
لمح ابصر
لامع مضيء
لب خلاصة
لائحة قائمة
لاعب مازح
لؤم خسة
مائدة سفرة
مؤامرة مكيدة
مات توفي
مالك سيد
مؤلم موجع
مؤمن عابد
ماهر بارع
مباح حلال
مبالغة زيادة
مبتذل سخيف
مبتسم ضاحك
مبتهج مسرور
مبهم غامض
متحدث ناطق
متناغم متناسق
مجادلة نقاش
متقدم متطور
مجد شرف
محادثة مناقشة
محارب مناضل
ناتج حاصل
ناجح فائز
ناطق متحدث
ناعم لين
نافذة شباك
ناقش جادل
نام غفى
نتيجة خاتمة
نجح فاز
نجم كوكب
نزاع خصام
نزاهة شرف
نصيحة ارشاد
نعاس نوم
نفقة اجرة
نقص عيب
نكاح زواج
نكر جحد
نمط نوع
نهج طريقة
هائل ضخم
هاجر سافر
هدف غاية
هزيمة خسارة
هلاك موت
هضبة تل
هلع خوف
هدوء راحة
هدم دمر
هدية هبة
هلال قمر
هلك مات
همة عزيمة
هين سهل
هزم غلب
هزل مزاح
هجوم اقتحام
هجرة سفر
هدنة صلح
هاجس وسواس
واسع فسيح
واضح ظاهر
وجع الم
وداع فراق
وباء مرض
وجبة طعام
وسام شعار
وسيلة أداة
وضوح ظهور
وقاية حذر
وقت زمن
وقف نهض
وهن ضعف
وقع سقط
وطن بلد
وزن ثقل
وسيم جميل
وحيد مفرد
وداد حب
ورد زهر 
يابسة ارض
يقين علم
يمين يد
يوم نهار
يسر سهل
ياقوت لؤلؤ
يانع ناضج
يابس جاف
يأس قنوط
يقظ منتبه
يسير سهل
يمامة حمامة
يافع شاب
يد كف
يسار شمال
ينبوع غدير
يمين عهد
يقين معرفة
يسير قليل
يومية تقويم
